pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Ras signaling pathway - Homo sapiens (human),KEGG,23,RAPGEF5;RASSF5;HGF;AKT3;FLT4;IGF1R;EXOC2;PDGFA;PDGFRA;PIK3CA;PLA2G12A;RASGRP3;PDGFD;INSR;PAK1;PRKCA;FGFR2;PLCG2;PLD2;GNG2;RAB5B;RASAL1;RAP1B,232 (232),0.000924,0.0633,2,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB01201,7 (7),0.00398,0.0983,4.97e-05,0.00252
acyl-CoA hydrolysis,HumanCyc,1,ACOT7,3 (3),0.139,0.811,5,HMDB00220;HMDB00806;HMDB02212;HMDB00944;HMDB02003,27 (39),2.82e-05,0.00256,5.26e-05,0.00261
Integrins in angiogenesis,PID,11,COL2A1;F11R;COL3A1;COL5A2;SDC1;COL11A1;PIK3CA;IGF1R;BCAR1;COL1A1;COL1A2,63 (63),0.000199,0.0234,1,HMDB01201,2 (2),0.0284,0.317,7.4e-05,0.0036
B Cell Receptor Signaling Pathway,Wikipathways,16,BLK;BRAF;FOXO1;BLNK;CD79B;CD79A;IRF4;CAMK2A;MEF2C;CARD11;RASGRP3;MAX;PIK3CG;BTK;PLCG2;TEC,98 (98),1.83e-05,0.00374,0,,0 (0),1,1,1.83e-05,0.00374
Visual phototransduction,Reactome,7,SDC3;PRKCA;SDC1;SDC4;PDE6A;RDH12;GPC4,102 (102),0.227,0.945,6,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB00220;HMDB01201;HMDB01397;HMDB00673;HMDB00658#HMDB10370,45 (65),2.91e-05,0.00259,8.53e-05,0.00407
Plasma lipoprotein remodeling,Reactome,0,,30 (30),1,1,4,HMDB00658#HMDB10370;HMDB10384;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB08048#HMDB08036#HMDB08038,10 (20),6.86e-06,0.000888,8.84e-05,0.00407
HDL remodeling,Reactome,0,,10 (10),1,1,4,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB10384;HMDB00658#HMDB10370;HMDB08048#HMDB08036#HMDB08038,10 (17),6.86e-06,0.000888,8.84e-05,0.00407
MAPK signaling pathway - Homo sapiens (human),KEGG,30,TGFBR1;CACNA1E;HGF;CACNA1S;AKT3;RAP1B;IGF1R;MAPK12;PPP3CC;BRAF;PDGFA;PDGFRA;RASGRP3;RPS6KA3;PDGFD;RPS6KA2;INSR;MAX;PAK1;CASP3;PRKCA;CACNA1H;ATF4;MKNK1;FGFR2;MAPK11;MAPK13;MEF2C;MAP3K3;FLT4,295 (295),0.000105,0.0137,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,5 (5),0.0695,0.374,9.33e-05,0.00422
Long-term potentiation - Homo sapiens (human),KEGG,12,BRAF;PRKCA;RAPGEF3;ATF4;CAMK2A;CAMK2D;RAP1B;RPS6KA3;PLCB4;ITPR2;PPP3CC;RPS6KA2,67 (67),7.98e-05,0.0118,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,7 (7),0.096,0.441,9.79e-05,0.00435
Interferon Signaling,Reactome,22,JAK1;SP100;RNASEL;TRIM25;GBP4;GBP5;GBP7;CAMK2A;CAMK2D;EIF4A2;B2M;OAS3;GBP2;IRF1;IRF2;IRF4;IRF5;IRF6;EIF4E3;SAMHD1;XAF1;STAT1,158 (158),7.8e-06,0.00239,0,,6 (15),1,1,9.96e-05,0.00435
Signaling Pathways in Glioblastoma,Wikipathways,15,MDM2;MDM4;FOXO1;PIK3C2B;PIK3CA;PIK3CG;AKT3;IGF1R;BRAF;PRKCZ;FGFR2;PLCG2;PDGFRA;PRKCA;CCND2,83 (83),9.39e-06,0.00267,0,,1 (3),1,1,0.000118,0.00507
Transport of vitamins_ nucleosides_ and related molecules,Reactome,0,,39 (39),1,1,7,HMDB00288;HMDB02003;HMDB00220;HMDB01397;HMDB00806;HMDB02212;HMDB00673,57 (64),9.99e-06,0.00109,0.000125,0.00528
dolichyl-diphosphooligosaccharide biosynthesis,HumanCyc,1,DPM3,10 (10),0.392,1,3,HMDB00288;HMDB00295;HMDB01201,5 (7),2.61e-05,0.00248,0.000128,0.00528
G alpha (i) signalling events,Reactome,18,SSTR4;PLCB4;SDC3;CXCL3;PRKCA;CXCL10;CXCR4;S1PR1;SDC1;ITPR2;PDE1A;SDC4;GPR55;PPP3CC;PDE6A;GNG2;RDH12;GPC4,399 (400),0.662,1,9,HMDB10384;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB00220;HMDB01201;HMDB01397;HMDB01043;HMDB00673;HMDB08048#HMDB08036#HMDB08038;HMDB00658#HMDB10370,112 (159),1.57e-05,0.00167,0.000129,0.00528
Extracellular matrix organization,Reactome,31,COL2A1;COL3A1;COL5A2;COL24A1;COL11A1;SPARC;FBLN2;FBN2;CASK;F11R;PDGFA;LOX;NCAN;CASP3;SDC3;PRKCA;LAMC1;COL22A1;CAPN5;ADAMTS5;MMP2;ITGA3;ITGAL;ADAM8;TNXB;SDC1;ITGB7;CTSS;SDC4;COL1A1;COL1A2,294 (294),4.06e-05,0.00666,1,HMDB00295,21 (30),0.262,0.923,0.000132,0.00532
Syndecan-1-mediated signaling events,PID,10,COL2A1;COL3A1;COL5A2;SDC1;COL1A1;HGF;COL11A1;FGFR2;CASK;COL1A2,43 (43),3.04e-05,0.00558,0,,0 (0),1,1,3.04e-05,0.00558
Metabolism,Reactome,104,HEXA;B3GALNT1;RAPGEF3;NAT8L;SMPD3;INPP1;ENPP1;ABHD10;ACSS1;ACP5;CACNA1E;GNG2;AGPAT4;ACOT7;GBE1;PGM2L1;SLC46A1;HACD4;CMPK1;HNMT;PTGIS;INPP4B;FAAH;ELOVL7;TNFAIP8;ITPR2;LPIN1;GDPD5;LYVE1;PHYH;BMX;PTPN13;CTPS2;LPCAT2;PIK3C2B;FIG4;PIK3CA;PLA2G12A;ALDH1L2;PTS;PIK3CG;LIPH;SDC3;CSAD;GLS;PRKCA;PPM1L;GPC4;GLUL;NADK;SECISBP2;ETNK1;PDP2;PYGL;PLCB4;PLCG2;PLD2;FAR1;PRKAG2;ALDH3A2;CHPF;DHTKD1;SLC23A1;SDC1;ALOX12;SDC4;NAMPT;PLEKHA8;PCYT1B;CHST3;TBXAS1;SLC25A27;NDST1;PNPLA2;ALDH1A1;SLC25A21;NDUFAF2;HACD3;GDPD3;PON3;XDH;SAMHD1;CHST1;ESYT2;TBL1XR1;ENTPD4;SLC3A2;PIKFYVE;PLCD3;NCOR1;LIPT1;SLC44A1;ORMDL3;GCAT;EHHADH;NCAN;GPCPD1;NCOA1;PLEKHA1;PLEKHA2;PNPLA7;HSD17B11;ALDH7A1;IPMK,1960 (1972),0.171,0.867,23,HMDB01044;HMDB00618#HMDB01548;HMDB00295;HMDB01546;HMDB00220;HMDB00159;HMDB08048#HMDB08036#HMDB08038;HMDB00536;HMDB01388;HMDB00158;HMDB01043;HMDB00658#HMDB10370;HMDB01999;HMDB10384;HMDB00288;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB04971#HMDB04972#HMDB04974#HMDB04975;HMDB01397;HMDB01201;HMDB00673;HMDB11592#HMDB06750;HMDB04951;HMDB00925,829 (1384),7.36e-05,0.00622,0.000155,0.00606
Interconversion of nucleotide di- and triphosphates,Reactome,2,CTPS2;CMPK1,34 (34),0.497,1,6,HMDB01044;HMDB00288;HMDB00295;HMDB01546;HMDB01201;HMDB01397,44 (52),2.55e-05,0.00248,0.000156,0.00606
Nucleobase catabolism,Wikipathways,0,,0 (0),1,1,7,HMDB01044;HMDB00288;HMDB00618#HMDB01548;HMDB00295;HMDB01546;HMDB01201;HMDB01397,77 (100),7.43e-05,0.00622,7.43e-05,0.00622
EGF-EGFR Signaling Pathway,Wikipathways,21,BRAF;PAK1;JAK1;REPS2;GJA1;STXBP1;PRKCA;PIK3C2B;PEBP1;CAMK2A;MEF2C;ATF1;STAT1;RPS6KA3;PRKCZ;MAP3K3;FOXO1;PLD2;STAM;BCAR1;RPS6KA2,162 (162),3.75e-05,0.00637,0,,0 (0),1,1,3.75e-05,0.00637
Proteoglycans in cancer - Homo sapiens (human),KEGG,25,HGF;AKT3;IGF1R;MAPK12;BRAF;PIK3CA;CAMK2A;CAMK2D;PPP1R12A;PAK1;CASP3;ARHGEF12;WNT10A;PRKCA;PLCG2;MMP2;PTCH1;MAPK11;MDM2;MAPK13;SDC1;SDC4;PDCD4;DDX5;ITPR2,201 (201),1.45e-05,0.00351,0,,5 (7),1,1,0.000176,0.00676
Membrane Trafficking,Reactome,35,DENND5B;GJA1;MIA3;GAPVD1;CTAGE5;AKT3;TXNDC5;SYT8;USO1;ARFGAP3;RAB30;RIN2;CHMP5;KIF1B;PAFAH1B3;RAB11A;STON2;CD55;AP1S2;VPS36;SCFD1;DENND2D;STAM;FCHO2;PRKAG2;MAP1LC3B;REPS2;VAMP4;STX16;STX17;RAB6B;RAB5B;ARF4;ARPC2;DENND1B,582 (582),0.111,0.747,4,HMDB10384;HMDB00658#HMDB10370;HMDB01201;HMDB08048#HMDB08036#HMDB08038,20 (30),0.000143,0.0102,0.000192,0.00726
Signaling by VEGF,Reactome,14,MAPK11;AKT3;PAK1;ABI2;BCAR1;PRKCA;ITPR2;NCF2;FLT4;PRKCZ;PIK3CA;NRP2;NRP1;PRR5,100 (100),0.000325,0.0341,2,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB01201,26 (28),0.052,0.374,0.000203,0.00754
Developmental Biology,Reactome,36,FOXO1;NCOR1;KRT7;AKT3;RELN;RAP1GAP;MAPK12;ST14;PLXNC1;CXCR4;SRGAP1;UNC5B;RPS6KA2;RPS6KA3;NCAN;PAK1;CACNA1S;ARHGEF12;NCOA1;PRKCA;LAMC1;FOXP1;CACNA1H;IRS2;ALCAM;POU6F1;HHEX;DCC;MAPK11;ARHGEF11;NRP1;MEF2C;PLXNA1;NRP2;ARPC2;FARP2,619 (620),0.149,0.848,4,HMDB00220;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB01201;HMDB04951,19 (26),0.000116,0.00851,0.000206,0.00756
FoxO signaling pathway - Homo sapiens (human),KEGG,19,MAPK11;MDM2;IL10;MAPK13;FOXO1;TGFBR1;BRAF;PIK3CA;TNFSF10;S1PR1;SGK1;AKT3;IRS2;CCND2;SETD7;IGF1R;INSR;MAPK12;PRKAG2,131 (132),1.79e-05,0.00374,0,,5 (5),1,1,0.000213,0.00772
Class I PI3K signaling events,PID,9,BLK;BLNK;PLEKHA1;PLEKHA2;SGK1;PIK3CG;BTK;PLCG2;PIK3CA,45 (45),0.000261,0.0292,1,HMDB01201,5 (5),0.0695,0.374,0.000216,0.00772
Class A-1 (Rhodopsin-like receptors),Wikipathways,0,,0 (0),1,1,7,HMDB00295;HMDB00220;HMDB02226;HMDB02925;HMDB01388;HMDB00806;HMDB01999,81 (104),0.000103,0.00787,0.000103,0.00787
BCR,NetPath,18,BLK;BLNK;NEDD9;FOXO1;PLEKHA1;PLEKHA2;CD79A;PIK3CG;STAP1;CARD11;STAT1;CD79B;BTK;PLCG2;RASGRP3;BCAR1;ITPR2;TEC,129 (129),5.01e-05,0.00793,0,,0 (0),1,1,5.01e-05,0.00793
IGF-Core,Signalink,7,FOXO1;TGFBR1;PIK3CG;AKT3;IRS2;IGF1R;INSR,22 (22),5.54e-05,0.00848,0,,0 (0),1,1,5.54e-05,0.00848
Dopaminergic synapse - Homo sapiens (human),KEGG,15,MAPK11;MAPK13;CLOCK;MAPK12;PRKCA;CAMK2A;AKT3;CAMK2D;PLCB4;KIF5C;ATF4;GNG2;CREB3L2;ITPR2;PPP3CC,131 (131),0.00171,0.0995,2,HMDB00158;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,12 (12),0.012,0.202,0.000242,0.00851
NOD-like receptor signaling pathway - Homo sapiens (human),KEGG,22,JAK1;CASP1;IL18;NAMPT;RNASEL;MAPK12;GBP4;GBP5;GBP7;GSDMD;STAT1;CARD6;BIRC2;GBP2;OAS3;PLCB4;MAPK11;MAPK13;CXCL3;ITPR2;NLRP3;TXNIP,168 (168),2.1e-05,0.00401,0,,5 (15),1,1,0.000247,0.00857
Plasma lipoprotein assembly_ remodeling_ and clearance,Reactome,0,,69 (69),1,1,4,HMDB00658#HMDB10370;HMDB08048#HMDB08036#HMDB08038;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB10384,13 (25),2.27e-05,0.00225,0.000265,0.00894
Plasma lipoprotein assembly_ remodeling_ and clearance,Wikipathways,0,,5 (5),1,1,4,HMDB10384;HMDB00658#HMDB10370;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB08048#HMDB08036#HMDB08038,13 (21),2.27e-05,0.00225,0.000265,0.00894
Nucleobase catabolism,Reactome,3,XDH;SAMHD1;ENTPD4,37 (37),0.267,1,7,HMDB01044;HMDB00288;HMDB00618#HMDB01548;HMDB00295;HMDB01546;HMDB01201;HMDB01397,79 (100),8.78e-05,0.0071,0.000273,0.00911
Class A/1 (Rhodopsin-like receptors),Reactome,11,SSTR4;F2RL1;ADORA2A;CXCL3;GPR55;CXCL10;CXCR4;GPR132;S1PR1;EDNRA;GPR65,330 (330),0.931,1,7,HMDB00295;HMDB00220;HMDB02226;HMDB02925;HMDB01388;HMDB00806;HMDB01999,66 (82),2.69e-05,0.0025,0.00029,0.00954
Axon guidance,Reactome,24,CACNA1S;RELN;RAP1GAP;PLXNC1;CXCR4;SRGAP1;UNC5B;RPS6KA2;RPS6KA3;NCAN;PAK1;ARHGEF12;PRKCA;LAMC1;CACNA1H;IRS2;ALCAM;DCC;ARHGEF11;NRP1;PLXNA1;NRP2;ARPC2;FARP2,357 (358),0.067,0.599,3,HMDB00220;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB01201,11 (15),0.000407,0.022,0.000314,0.0102
Glioma - Homo sapiens (human),KEGG,11,BRAF;PDGFA;PDGFRA;MDM2;PRKCA;CAMK2A;AKT3;CAMK2D;IGF1R;PLCG2;PIK3CA,71 (71),0.000583,0.0487,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,4 (4),0.056,0.374,0.00037,0.0118
TNF alpha Signaling Pathway,Wikipathways,7,GLUL;CASP3;CFLAR;BIRC2;PYGL;PRKCZ;MAP3K3,93 (93),0.166,0.867,2,HMDB04951;HMDB01043,2 (3),0.000198,0.0126,0.000372,0.0118
IFN-gamma pathway,PID,8,CASP1;JAK1;PIK3CA;IRF1;CAMK2A;CAMK2D;STAT1;RAP1B,42 (42),0.000806,0.0607,1,HMDB01201,3 (4),0.0423,0.338,0.000385,0.012
Focal adhesion - Homo sapiens (human),KEGG,24,COL2A1;HGF;AKT3;RELN;RAP1B;IGF1R;BRAF;PDGFA;PDGFRA;PIK3CA;PPP1R12A;PDGFD;PAK1;BIRC2;PRKCA;LAMC1;ITGA3;BCAR1;TNXB;ITGB7;COL1A2;FLT4;COL1A1;CCND2,199 (199),3.58e-05,0.00631,0,,1 (2),1,1,0.000402,0.0124
Insulin resistance - Homo sapiens (human),KEGG,13,FOXO1;IRS2;PIK3CA;PYGL;AKT3;GFPT1;RPS6KA2;RPS6KA3;PRKCZ;OGT;INSR;CREB3L2;PRKAG2,107 (107),0.002,0.107,2,HMDB04951;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,15 (21),0.0185,0.273,0.000416,0.0127
Retinoid metabolism and transport,Wikipathways,0,,0 (0),1,1,4,HMDB00220;HMDB00673;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB00658#HMDB10370,22 (37),0.000212,0.0129,0.000212,0.0129
Insulin Signaling,Wikipathways,20,MAPK11;STXBP1;MAPK13;FOXO1;RHOQ;PRKCA;SGK1;ENPP1;RRAD;IRS2;PIK3CG;PRKCZ;MAP3K3;IGF1R;RPS6KA2;INSR;MAPK12;PIK3CA;STXBP3;RPS6KA3,160 (160),9.55e-05,0.0133,0,,0 (0),1,1,9.55e-05,0.0133
EGFR1,NetPath,41,NEDD9;CYLD;GJA1;LAPTM4A;KRT7;EPPK1;FOXO1;CRIM1;BRAF;ITGA3;STAM;ZFYVE16;PIK3C2B;BCAR1;PIK3CA;PEBP1;PIK3CG;RPS6KA2;RPS6KA3;LPP;INSR;PAK1;SDC3;PRKCA;TNIP1;ATF1;IRS2;PRKCZ;PLCG2;PLD2;ARHGAP32;BCAR3;REPS2;PLEKHN1;SDC1;SDC4;JAK1;STAT1;DDX3X;MAP3K3;ARF4,455 (457),9.87e-05,0.0133,0,,0 (4),1,1,9.87e-05,0.0133
PDGF,INOH,6,PAK1;PDGFRA;PIK3CA;PDGFA;AKT3;ARHGEF6,45 (45),0.0208,0.35,2,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB01201,5 (7),0.00193,0.073,0.000447,0.0135
N-Glycan biosynthesis,EHMN,4,MGAT4A;ST6GAL1;FUT8;MAN1B1,42 (42),0.145,0.833,4,HMDB00288;HMDB00295;HMDB01546;HMDB01201,24 (51),0.000301,0.0174,0.000483,0.0143
Retinoid metabolism and transport,Reactome,4,SDC3;SDC4;SDC1;GPC4,45 (45),0.173,0.867,4,HMDB00658#HMDB10370;HMDB00673;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB00220,23 (35),0.000254,0.0153,0.000485,0.0143
COPI-independent Golgi-to-ER retrograde traffic,Reactome,2,RAB6B;PAFAH1B3,34 (34),0.497,1,3,HMDB10384;HMDB01201;HMDB08048#HMDB08036#HMDB08038,7 (8),8.97e-05,0.0071,0.000491,0.0143
Relaxin signaling pathway - Homo sapiens (human),KEGG,16,PRKCA;COL3A1;MAPK13;TGFBR1;CREB3L2;PIK3CA;ATF4;AKT3;PLCB4;MAPK11;PRKCZ;MMP2;GNG2;MAPK12;COL1A1;COL1A2,130 (130),0.000554,0.048,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,6 (6),0.0829,0.406,0.000505,0.0145
Vesicle-mediated transport,Reactome,39,COL3A1;SPARC;DENND5B;GJA1;MIA3;GAPVD1;DENND1B;CTAGE5;AKT3;TXNDC5;SYT8;USO1;ARFGAP3;RAB30;RIN2;CHMP5;KIF1B;PAFAH1B3;RAB11A;STON2;CD55;AP1S2;VPS36;SCFD1;DENND2D;STAM;FCHO2;PRKAG2;MAP1LC3B;REPS2;VAMP4;STX16;STX17;RAB6B;RAB5B;ARPC2;ARF4;COL1A1;COL1A2,620 (620),0.0581,0.551,4,HMDB10384;HMDB00658#HMDB10370;HMDB01201;HMDB08048#HMDB08036#HMDB08038,31 (66),0.000831,0.0418,0.000528,0.015
GPCR ligand binding,Reactome,15,SSTR4;CD55;WNT10A;F2RL1;ADORA2A;CXCL3;GPR55;CXCL10;CXCR4;S1PR1;GPR132;EDNRA;GNG2;GPR65;PTCH1,465 (466),0.968,1,8,HMDB00295;HMDB00220;HMDB02226;HMDB01201;HMDB02925;HMDB01388;HMDB00806;HMDB01999,101 (141),5.7e-05,0.00497,0.000597,0.0168
Death Receptor Signalling,Reactome,14,ARHGEF11;CYLD;CFLAR;TNFSF10;FGD4;BIRC2;SQSTM1;APH1B;ARHGEF6;TIAM2;TAX1BP1;SMPD3;CASP3;ARHGEF12,138 (141),0.00717,0.21,2,HMDB04951;HMDB01201,10 (11),0.00831,0.159,0.000639,0.0178
CD28 co-stimulation,Reactome,7,PAK1;PIK3CA;CD28;CD80;AKT3;GRAP2;PRR5,33 (33),0.000871,0.0625,1,HMDB01201,5 (6),0.0695,0.374,0.000649,0.0178
SLC-mediated transmembrane transport,Reactome,11,SLC12A4;SLC26A11;EMB;SLC9A9;CP;SLC40A1;SLC39A4;SLC13A5;SLC44A1;SLC3A2;SLC12A2,244 (245),0.644,1,9,HMDB00288;HMDB02003;HMDB00220;HMDB00159;HMDB01397;HMDB00806;HMDB02212;HMDB00158;HMDB00673,140 (166),9.5e-05,0.00737,0.000654,0.0178
MAPK Signaling Pathway,Wikipathways,24,TGFBR1;CACNA1E;CACNA1S;AKT3;RAP1B;MAPK12;PPP3CC;BRAF;PDGFA;RASGRP3;MAX;LRRK2;RPS6KA3;PAK1;CASP3;PRKCA;FGF11;ATF4;FGFR2;MAPK11;CACNA1H;MAPK13;MEF2C;MKNK1,246 (246),0.000905,0.0633,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,5 (5),0.0695,0.374,0.000672,0.0181
Necroptosis - Homo sapiens (human),KEGG,15,GLUL;CASP1;JAK1;CFLAR;ZBP1;TNFSF10;BIRC2;PYGL;NLRP3;SQSTM1;CAMK2A;CAMK2D;STAT1;CHMP5;CYLD,162 (162),0.0124,0.272,2,HMDB04951;HMDB01043,8 (10),0.00526,0.118,0.000692,0.0185
T cell receptor signaling pathway - Homo sapiens (human),KEGG,13,MAPK11;IL10;MAPK13;PIK3CA;CD28;PAK1;AKT3;CARD11;CTLA4;GRAP2;MAPK12;PPP3CC;TEC,101 (101),0.00118,0.075,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,4 (4),0.056,0.374,0.0007,0.0185
pdgf signaling pathway,BioCarta,6,PDGFA;JAK1;PRKCA;STAT1;PDGFRA;PIK3CA,27 (27),0.00158,0.0942,1,HMDB01201,3 (3),0.0423,0.338,0.000709,0.0185
Intra-Golgi and retrograde Golgi-to-ER traffic,Wikipathways,0,,0 (0),1,1,3,HMDB10384;HMDB01201;HMDB08048#HMDB08036#HMDB08038,11 (12),0.000407,0.022,0.000407,0.022
Diseases of signal transduction,Reactome,25,SEL1L;FOXO1;TGFBR1;APH1B;HGF;NCOR1;CD80;AKT3;RAP1B;BRAF;PDGFA;PDGFRA;ATG7;PIK3CA;CD28;PEBP1;PRR5;IRS2;FGFR2;MAML2;SYVN1;MDM2;TBL1XR1;STAT1;APBB1IP,248 (248),0.00044,0.0412,1,HMDB01201,15 (52),0.195,0.719,0.000889,0.0229
GPCR GroupI metabotropic glutamate receptor,INOH,4,BRAF;PRKCA;PLCB4;PRKCZ,28 (28),0.0447,0.492,2,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB01201,5 (6),0.00193,0.073,0.000894,0.0229
Linoleic acid metabolism - Homo sapiens (human),KEGG,1,PLA2G12A,29 (29),0.764,1,4,HMDB00673;HMDB02925;HMDB01043;HMDB08048#HMDB08036#HMDB08038,19 (28),0.000116,0.00851,0.000913,0.023
Metabolism of fat-soluble vitamins,Reactome,4,SDC3;SDC4;SDC1;GPC4,49 (49),0.213,0.928,4,HMDB00658#HMDB10370;HMDB00673;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB00220,26 (41),0.000415,0.0222,0.000916,0.023
phospho-PLA2 pathway,Reactome,0,,2 (2),1,1,3,HMDB10384;HMDB01043;HMDB08048#HMDB08036#HMDB08038,7 (7),8.97e-05,0.0071,0.000926,0.023
Regulation of toll-like receptor signaling pathway,Wikipathways,18,MAPK11;CISH;MAPK13;CYLD;CD80;TLR5;PIK3CA;CXCL10;IRAK3;SQSTM1;IRF5;AKT3;STAT1;PIK3CG;BTK;LY96;MAPK12;PELI1,143 (143),0.000193,0.0233,0,,0 (2),1,1,0.000193,0.0233
VEGFA-VEGFR2 Signaling Pathway,Wikipathways,25,FOXO1;GJA1;RAP1B;TXNIP;MAPK12;NDRG1;ERN1;PIK3CA;RAB11A;PAK1;PRKCA;NCF2;ATF4;PRKCZ;MMP2;STAM;BCAR1;EIF2AK3;TNXB;HERPUD1;MEF2C;STAT1;INPP4B;MKNK1;NRP2,236 (236),0.000206,0.0237,0,,0 (0),1,1,0.000206,0.0237
Adaptive Immune System,Reactome,49,MRC1;LGMN;ASB13;AKT3;RAP1B;RAP1GAP;PIK3CA;RNF34;KLHL25;CTSO;ATG7;PILRA;RCHY1;RAPGEF3;CD28;CD80;RASGRP3;B2M;MKRN1;GRAP2;PRR5;BLNK;PAK1;RAP1GAP2;CD274;AP1S2;XDH;BTK;CD74;CD79A;CD79B;PTPN22;NCF2;CARD11;TRIM39;CTLA4;PLCG2;LY96;SLAMF7;FBXL20;ITGAL;TAP1;HERC4;ITGB7;CTSS;CD96;CD200;PDCD1LG2;ITPR2,728 (732),0.0124,0.272,3,HMDB04951;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB01201,29 (54),0.00756,0.154,0.000966,0.0238
Leukocyte transendothelial migration - Homo sapiens (human),KEGG,16,F11R;MAPK11;BCAR1;ITGAL;RASSF5;PIK3CA;RAPGEF3;CXCR4;NCF2;MAPK13;RAP1B;CLDN7;PLCG2;MMP2;MAPK12;PRKCA,112 (112),9.75e-05,0.0133,0,,3 (4),1,1,0.000998,0.0243
Human cytomegalovirus infection - Homo sapiens (human),KEGG,22,JAK1;AKT3;MAPK12;PPP3CC;PDGFRA;PIK3CA;CXCR4;B2M;GNG2;CASP3;ARHGEF12;PRKCA;ATF4;BCAR1;MAPK11;MDM2;ARHGEF11;MAPK13;TAP1;PLCB4;CREB3L2;ITPR2,225 (225),0.00142,0.0855,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,5 (6),0.0695,0.374,0.00101,0.0243
HS-GAG biosynthesis,Reactome,5,SDC3;SDC4;NDST1;SDC1;GPC4,31 (31),0.0158,0.297,2,HMDB00288;HMDB00295,9 (9),0.0067,0.14,0.00108,0.0257
B cell receptor signaling pathway - Homo sapiens (human),KEGG,10,BLNK;PIK3CA;CD79A;CD79B;AKT3;CARD11;RASGRP3;BTK;PLCG2;PPP3CC,70 (71),0.00193,0.106,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,4 (4),0.056,0.374,0.0011,0.026
UTP and CTP dephosphorylation I,HumanCyc,1,CTPS2,3 (3),0.139,0.811,3,HMDB00288;HMDB00295;HMDB01546,14 (15),0.000871,0.0428,0.00121,0.0282
IL2-mediated signaling events,PID,8,MAPK11;CISH;JAK1;PIK3CA;IRS2;IKZF3;STAT1;STAM,54 (54),0.00426,0.158,1,HMDB01201,2 (3),0.0284,0.317,0.00121,0.0282
Interferon alpha/beta signaling,Reactome,12,JAK1;IRF2;GBP2;IRF1;OAS3;IRF4;IRF5;IRF6;XAF1;STAT1;RNASEL;SAMHD1,70 (70),0.000124,0.0158,0,,4 (11),1,1,0.00124,0.0284
Linoleate metabolism,EHMN,2,SLC23A1;PLA2G12A,72 (74),0.871,1,4,HMDB10384;HMDB00673;HMDB00295;HMDB08048#HMDB08036#HMDB08038,20 (24),0.000143,0.0102,0.00124,0.0284
Prolactin Signaling Pathway,Wikipathways,12,PAK1;JAK1;PIK3CA;IRF1;CISH;PIK3CG;STAT1;PRLR;IRS2;CASP3;TEC;RPS6KA2,76 (76),0.000277,0.0303,0,,0 (0),1,1,0.000277,0.0303
